id,name,city,state,street,zip,country,url,grade_levels,enrollment_size,school_type,student_body
42324,St. Philip's Episcopal School,Beeville,TX,105 N Adams St,78102-4909,US,/school-directory/school/42324,,0-100,,CoEd
88168,St. Pius X High School,Houston,TX,811 West Donovan Street,77091-5699,US,/school-directory/school/88168,High School,501-700,"Day Services Available Lunch, Transportation",CoEd
40790,St. Richard's Episcopal School,Indianapolis,IN,33 E 33rd St,46205-3401,US,/school-directory/school/40790,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
39833,St. Sebastian's School,Needham,MA,1191 Greendale Ave,02492-4727,US,/school-directory/school/39833,"Middle School/Junior High School, High School",301-500,Day Services Available Lunch,Boys
39849,St. Stephen's & St. Agnes School,Alexandria,VA,1000 Saint Stephens Rd,22304-1727,US,/school-directory/school/39849,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
42592,St. Stephen's Episcopal Day School,Coconut Grove,FL,3439 Main Hwy,33133-5915,US,/school-directory/school/42592,"Pre-School, Elementary/Primary School",301-500,Day,CoEd
39840,St. Stephen's Episcopal School,Austin,TX,6500 St. Stephens Dr.,78746-1716,US,/school-directory/school/39840,"Middle School/Junior High School, High School",701-1000,"Boarding Day Services Available Lunch, Transportation",CoEd
42326,St. Stephen's Episcopal School,Houston,TX,1800 Sul Ross,77098-2601,US,/school-directory/school/42326,"Pre-School, Elementary/Primary School, Middle School/Junior High School",101-200,Day,CoEd
41543,St. Teresa's Academy,Kansas City,MO,5600 Main St,64113-1225,US,/school-directory/school/41543,High School,501-700,Day Services Available Lunch,Girls
42536,St. Thomas Episcopal Parish School,Coral Gables,FL,5692 N Kendall Dr,33156-2132,US,/school-directory/school/42536,"Pre-School, Elementary/Primary School",301-500,Day,CoEd
95355,St. Thomas High School,Houston,TX,4500 Memorial Drive,77007-7399,US,/school-directory/school/95355,,701-1000,Day,Boys
41811,St. Thomas More Play Group,New York,NY,65 E 89th St,10128-1226,US,/school-directory/school/41811,,101-200,Day,CoEd
41013,St. Thomas More School,Oakdale,CT,45 Cottage Road,06370-1051,US,/school-directory/school/41013,"Middle School/Junior High School, High School, Post-Graduate School",101-200,Boarding,CoEd
40796,St. Thomas School,Medina,WA,8300 NE 12th St,98039,US,/school-directory/school/40796,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
42112,St. Thomas's Day School,New Haven,CT,830 Whitney Ave,06511-1316,US,/school-directory/school/42112,Elementary/Primary School,101-200,Day,CoEd
